338.731	-117.5
339.117	-117.5
339.503	-117.5
339.889	-150.27
340.274	-195.33
340.66	-76.54
341.046	-60.16
341.431	-166.65
341.817	-146.17
342.202	46.34
342.588	-109.31
342.973	-117.5
343.359	-39.68
343.744	-51.97
344.129	-23.3
344.515	-51.97
344.9	34.05
345.285	197.88
345.67	62.72
346.055	99.58
346.44	185.6
346.825	140.54
347.21	21.76
347.595	107.77
347.98	136.45
348.365	247.04
348.75	50.43
349.134	156.93
349.519	189.69
349.904	161.02
350.288	214.27
350.673	156.93
351.057	247.04
351.442	238.84
351.826	75.01
352.211	271.61
352.595	283.9
352.979	177.41
353.364	156.93
353.748	156.93
354.132	271.61
354.516	201.98
354.9	181.5
355.284	296.19
355.668	247.04
356.052	87.29
356.436	156.93
356.82	152.83
357.204	50.43
357.587	181.5
357.971	230.65
358.355	263.42
358.738	70.91
359.122	206.08
359.506	103.68
359.889	275.71
360.272	242.94
360.656	267.52
361.039	95.49
361.423	255.23
361.806	189.69
362.189	341.24
362.572	156.93
362.955	34.05
363.338	152.83
363.721	128.25
364.104	66.81
364.487	1320.17
364.87	271.61
365.253	136.45
365.636	95.49
366.019	206.08
366.401	50.43
366.784	201.98
367.167	144.64
367.549	206.08
367.932	91.39
368.314	193.79
368.697	222.46
369.079	128.25
369.462	144.64
369.844	173.31
370.226	140.54
370.609	140.54
370.991	193.79
371.373	328.95
371.755	210.17
372.137	107.77
372.519	152.83
372.901	165.12
373.283	132.35
373.665	70.91
374.047	99.58
374.428	107.77
374.81	161.02
375.192	46.34
375.574	95.49
375.955	234.75
376.337	148.73
376.718	226.56
377.1	111.87
377.481	185.6
377.863	161.02
378.244	169.21
378.625	95.49
379.006	189.69
379.388	247.04
379.769	132.35
380.15	197.88
380.531	189.69
380.912	165.12
381.293	99.58
381.674	107.77
382.055	95.49
382.436	169.21
382.816	201.98
383.197	238.84
383.578	365.82
383.959	79.1
384.339	242.94
384.72	234.75
385.1	439.55
385.481	247.04
385.861	222.46
386.242	210.17
386.622	304.38
387.002	251.13
387.383	267.52
387.763	242.94
388.143	324.86
388.523	218.36
388.903	308.48
389.283	333.05
389.663	378.11
390.043	333.05
390.423	349.43
390.803	414.97
391.183	320.76
391.562	521.46
391.942	550.14
